param_model__l2_regularization,param_model__learning_rate,param_model__max_depth,param_model__max_iter,param_model__min_samples_leaf,mean_test_mae,std_test_mae,rank_test_score
0.1,0.07,6,150,70,302.1050813770034,34.50435548300919,146
0.1,0.05,7,300,70,302.1324089208056,36.35523775623955,147
0.3,0.05,6,300,70,302.26781135850104,35.699111549671656,148
0.0,0.05,6,300,70,302.32119885992824,35.934149451131766,149
0.3,0.07,7,300,50,302.33494547080625,37.35694748596052,150
0.1,0.07,5,200,70,302.5040002779242,32.82180711276334,151
0.0,0.07,5,300,70,302.5158682755199,34.53783392465587,152
0.3,0.07,6,300,50,302.54326990555035,40.477312334476686,153
0.3,0.03,6,200,30,302.65981598348816,56.31844169171079,154
0.0,0.07,5,300,50,302.71064316964157,37.35226121416529,155
0.0,0.07,6,300,70,302.8940005831431,34.578520311884375,156
0.0,0.03,7,200,30,302.9153005919486,55.87778171920291,157
0.1,0.07,7,150,70,303.0846373961859,37.03409870581571,158
0.3,0.07,7,200,70,303.1322556343494,36.27654235115505,159
0.0,0.07,7,300,50,303.15290722234124,39.04450452020225,160
0.0,0.03,6,200,30,303.2671069064372,56.7059297829874,161
0.1,0.07,6,200,70,303.29063310924005,35.43307824595887,162
0.3,0.03,7,200,30,303.31383712316347,57.224180197018065,163
0.0,0.05,7,300,70,303.3184097789279,37.10575514739782,164
0.0,0.07,7,200,70,303.34557077027466,37.84190543842371,165
0.1,0.05,6,300,70,303.39066039800144,35.89708170653968,166
0.3,0.05,7,300,70,303.64156160663237,35.51715482888138,167
0.1,0.03,7,200,30,303.65110514132846,58.090197970422345,168
0.1,0.07,7,300,50,303.8912713748832,42.14971874992294,169
0.1,0.03,6,200,30,304.00913166761535,57.71048551872547,170
0.1,0.07,5,300,70,304.0393990905237,33.84610800399124,171
0.3,0.07,6,300,70,304.053712268918,35.76827993185801,172
0.1,0.03,5,200,30,304.1069315586459,54.71047279241078,173
0.0,0.05,6,150,30,304.2489618979034,57.5126762565069,174
0.1,0.07,6,150,30,304.3973599661879,55.04061537291518,175
0.1,0.07,6,300,70,304.4571663386869,35.825976578916276,176
0.1,0.05,6,150,30,304.50164448829116,55.4950232081091,177
0.1,0.07,7,200,70,304.6108869769429,37.614478263154076,178
0.0,0.05,7,150,30,304.6599549898312,55.38047662168756,179
0.0,0.07,7,300,70,304.67747323399374,37.063907022892316,180
0.3,0.07,7,300,70,304.7754314101177,35.534668870879116,181
0.3,0.05,6,150,30,304.79838913162087,58.18698770678158,182
0.0,0.03,5,200,30,304.79894866131997,53.62353951520824,183
0.3,0.03,5,200,30,304.8343826734939,54.39943101998566,184
0.3,0.05,5,150,30,305.10634121693437,52.04774874084292,185
0.0,0.03,7,300,30,305.3786251236329,56.02480431164559,186
0.3,0.03,7,300,30,305.3944928114274,56.73771584457634,187
0.1,0.05,5,150,30,305.5349640286937,55.652634093744375,188
0.1,0.05,7,150,30,305.53599604531803,55.49111002438245,189
0.3,0.05,7,150,30,305.5708507601563,55.72553024786848,190
0.1,0.05,6,200,30,305.5872271541312,55.77574946478327,191
0.0,0.03,6,300,30,305.61390127312245,57.53414737813563,192
0.3,0.07,7,150,30,305.8804322598005,58.10890520485637,193
0.1,0.03,7,300,30,305.940079954679,58.02341735089592,194
0.1,0.03,6,300,30,306.18988301099455,58.83631927861263,195
0.1,0.03,5,300,30,306.1916892113703,54.37698969447256,196
0.3,0.03,6,300,30,306.26136500732133,57.71856628355962,197
0.0,0.05,5,150,30,306.41021750954286,55.11653444020877,198
0.0,0.05,6,200,30,306.5591760055703,58.05879391732792,199
0.0,0.05,7,200,30,306.7187045045438,56.02884661414663,200
0.1,0.07,7,300,70,306.74138392743237,38.60026693554824,201
0.1,0.07,6,200,30,306.8841035407822,58.091337049851425,202
0.1,0.05,5,200,30,307.065198169665,57.472506344395974,203
0.3,0.05,7,200,30,307.08427715239435,56.84227062686011,204
0.1,0.05,7,200,30,307.2312991745291,56.32809115088737,205
0.3,0.05,6,200,30,307.2326446474537,59.76503293944082,206
0.1,0.07,7,150,30,307.2358706165247,56.49660756376741,207
0.3,0.07,6,150,30,307.4275077170521,57.30074322194448,208
0.0,0.03,5,300,30,307.6719083713445,55.84645514225196,209
0.0,0.07,7,150,30,307.9342652459444,57.59058661732639,210
0.3,0.07,5,150,30,308.2235632896021,58.780324920058675,211
0.3,0.05,5,200,30,308.26524554184107,54.184620397752525,212
0.3,0.03,5,300,30,308.42270465803375,54.967435606666875,213
0.0,0.07,6,150,30,308.96451074219175,58.456099312093315,214
0.0,0.05,5,200,30,308.9829973118314,57.34561447448071,215
0.1,0.05,6,300,30,309.45482246600113,58.441102207910426,216
0.3,0.07,7,200,30,309.5220222273739,60.52338850528777,217
0.0,0.07,5,150,30,309.73806390297824,58.75301664879556,218
0.3,0.07,6,200,30,309.8169937238956,58.4795194344756,219
0.1,0.07,7,200,30,310.3279323797874,57.04070240007906,220
0.0,0.07,7,200,30,310.4517577106023,58.7576433000463,221
0.1,0.07,5,150,30,310.7262107451048,60.21912772170325,222
0.1,0.07,6,300,30,310.79708689118337,61.25686314058933,223
0.0,0.05,6,300,30,310.82779560009334,60.92727529217632,224
0.1,0.05,5,300,30,311.00765564929077,59.32237778355568,225
0.3,0.07,5,200,30,311.223296586306,62.88945494473162,226
0.1,0.05,7,300,30,311.34174082418576,58.18678297046906,227
0.0,0.07,5,200,30,311.80920618722365,60.82137054928763,228
0.0,0.05,7,300,30,312.0456737050523,59.32992091945243,229
0.0,0.05,5,300,30,312.1178534447614,62.32592271336813,230
0.3,0.05,6,300,30,312.232217731282,63.96064595109725,231
0.3,0.05,5,300,30,312.31498524302134,57.865021070706355,232
0.3,0.05,7,300,30,312.5069527288946,58.64533248353438,233
0.1,0.07,5,200,30,312.6580379804328,59.86212250069578,234
0.0,0.07,6,200,30,312.69790816694945,59.72733047075621,235
0.0,0.07,7,300,30,313.70782706554803,60.58321655570549,236
0.1,0.07,7,300,30,314.0177141995911,58.13591850286362,237
0.3,0.07,7,300,30,314.4737616373606,62.499166608084835,238
0.3,0.07,5,300,30,314.61106252436355,65.24748339596367,239
0.3,0.07,6,300,30,314.6245511736344,63.21788534665671,240
0.0,0.07,5,300,30,315.93748739368067,63.764141978620685,241
0.1,0.07,5,300,30,316.76937952801626,64.94921721661986,242
0.0,0.07,6,300,30,317.38187836800705,62.14159400811719,243
